RUNNER,EXP,NUM,STEP,START_X,START_Y,DIRECTION,REWARD_X,REWARD_Y,EXPECTED,ACTUAL,FINAL_X,FINAL_Y,WHY,Q_N,Q_S,Q_E,Q_W,SUGGESTION
3,0,0,0,4,4,3,3,4,0,0,3,4,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,1,3,4,1,3,5,0,0,3,5,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,2,3,5,1,3,6,0,0,3,6,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,3,3,6,0,3,5,0,0,3,5,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,4,3,5,1,3,6,0,0,3,6,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,5,3,6,3,2,6,0,0,2,6,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,6,2,6,3,1,6,0,0,1,6,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,7,1,6,3,0,6,0,0,0,6,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,8,0,6,2,1,6,0,0,1,6,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,9,1,6,2,2,6,0,0,2,6,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,10,2,6,2,3,6,0,0,3,6,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,11,3,6,2,4,6,0,0,4,6,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,12,4,6,0,4,5,0,0,4,5,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,13,4,5,1,4,6,0,0,4,6,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,14,4,6,2,5,6,0,0,5,6,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,15,5,6,1,5,7,0,0,5,7,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,16,5,7,0,5,6,0,0,5,6,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,17,5,6,1,5,7,0,0,5,7,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,18,5,7,2,6,7,0,0,6,7,R,0.000000,0.000000,0.000000,0.000000,0
3,0,0,19,6,7,0,6,6,0,0,6,6,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,20,6,6,0,6,5,0,0,6,5,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,21,6,5,1,6,6,0,0,6,6,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,22,6,6,2,7,6,0,0,7,6,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,23,7,6,1,7,7,10,10,0,0,P,0.000000,5.000000,0.000000,0.000000,0
3,0,0,24,0,0,2,1,0,0,0,1,0,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,25,1,0,2,2,0,0,0,2,0,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,26,2,0,2,3,0,0,0,3,0,R,0.000000,0.000000,0.000000,0.000000,0
3,0,0,27,3,0,1,3,1,0,0,3,1,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,28,3,1,3,2,1,0,0,2,1,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,29,2,1,3,1,1,0,0,1,1,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,30,1,1,3,0,1,0,0,0,1,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,31,0,1,3,0,1,0,0,0,1,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,32,0,1,3,0,1,0,0,0,1,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,33,0,1,3,0,1,0,0,0,1,R,0.000000,0.000000,0.000000,0.000000,0
3,0,0,34,0,1,1,0,2,0,0,0,2,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,35,0,2,3,0,2,0,0,0,2,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,36,0,2,2,1,2,0,0,1,2,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,37,1,2,0,1,1,0,0,1,1,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,38,1,1,0,1,0,0,0,1,0,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,39,1,0,3,0,0,-100,-100,7,7,P,0.000000,0.000000,0.000000,-50.000000,0
3,0,0,40,7,7,3,6,7,0,0,6,7,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,41,6,7,2,7,7,10,10,0,0,P,0.000000,0.000000,5.000000,0.000000,0
3,0,0,42,0,0,1,0,1,0,0,0,1,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,43,0,1,2,1,1,0,0,1,1,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,44,1,1,1,1,2,0,0,1,2,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,45,1,2,1,1,3,0,0,1,3,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,46,1,3,1,1,4,0,0,1,4,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,47,1,4,3,0,4,0,0,0,4,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,48,0,4,3,0,4,0,0,0,4,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,49,0,4,0,0,3,0,0,0,3,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,50,0,3,3,0,3,0,0,0,3,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,51,0,3,2,1,3,0,0,1,3,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,52,1,3,0,1,2,0,0,1,2,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,53,1,2,3,0,2,0,0,0,2,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,54,0,2,2,1,2,0,0,1,2,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,55,1,2,2,2,2,0,0,2,2,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,56,2,2,1,2,3,0,0,2,3,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,57,2,3,1,2,4,0,0,2,4,P,0.000000,0.000000,0.000000,0.000000,0
