RUNNER,EXP,NUM,STEP,START_X,START_Y,DIRECTION,REWARD_X,REWARD_Y,EXPECTED,ACTUAL,FINAL_X,FINAL_Y,WHY,Q_N,Q_S,Q_E,Q_W,SUGGESTION
3,0,0,0,4,4,2,5,4,0,0,5,4,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,1,5,4,1,5,5,0,0,5,5,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,2,5,5,0,5,4,0,0,5,4,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,3,5,4,0,5,3,0,0,5,3,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,4,5,3,3,4,3,0,0,4,3,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,5,4,3,1,4,4,0,0,4,4,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,6,4,4,0,4,3,0,0,4,3,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,7,4,3,0,4,2,0,0,4,2,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,8,4,2,2,5,2,0,0,5,2,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,9,5,2,3,4,2,0,0,4,2,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,10,4,2,3,3,2,0,0,3,2,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,11,3,2,2,4,2,0,0,4,2,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,12,4,2,2,5,2,0,0,5,2,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,13,5,2,1,5,3,0,0,5,3,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,14,5,3,2,6,3,0,0,6,3,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,15,6,3,3,5,3,0,0,5,3,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,16,5,3,3,4,3,0,0,4,3,R,0.000000,0.000000,0.000000,0.000000,0
3,0,0,17,4,3,0,4,2,0,0,4,2,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,18,4,2,2,5,2,0,0,5,2,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,19,5,2,0,5,1,0,0,5,1,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,20,5,1,2,6,1,0,0,6,1,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,21,6,1,3,5,1,0,0,5,1,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,22,5,1,1,5,2,0,0,5,2,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,23,5,2,0,5,1,0,0,5,1,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,24,5,1,2,6,1,0,0,6,1,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,25,6,1,3,5,1,0,0,5,1,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,26,5,1,0,5,0,0,0,5,0,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,27,5,0,3,4,0,0,0,4,0,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,28,4,0,0,4,0,0,0,4,0,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,29,4,0,0,4,0,0,0,4,0,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,30,4,0,0,4,0,0,0,4,0,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,31,4,0,1,4,1,0,0,4,1,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,32,4,1,0,4,0,0,0,4,0,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,33,4,0,1,4,1,0,0,4,1,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,34,4,1,0,4,0,0,0,4,0,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,35,4,0,0,4,0,0,0,4,0,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,36,4,0,3,3,0,0,0,3,0,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,37,3,0,3,2,0,0,0,2,0,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,38,2,0,1,2,1,0,0,2,1,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,39,2,1,1,2,2,0,0,2,2,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,40,2,2,1,2,3,0,0,2,3,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,41,2,3,2,3,3,0,0,3,3,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,42,3,3,2,4,3,0,0,4,3,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,43,4,3,3,3,3,0,0,3,3,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,44,3,3,1,3,4,0,0,3,4,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,45,3,4,2,4,4,0,0,4,4,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,46,4,4,0,4,3,0,0,4,3,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,47,4,3,0,4,2,0,0,4,2,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,48,4,2,3,3,2,0,0,3,2,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,49,3,2,3,2,2,0,0,2,2,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,50,2,2,3,1,2,0,0,1,2,P,0.000000,0.000000,0.000000,0.000000,0
3,0,0,51,1,2,0,1,1,0,0,1,1,P,0.000000,0.000000,0.000000,0.000000,0
